PURPOSE OF METHOD:,METHOD NAME:,DESCRIPTION / IMPLEMENTATION STRATEGY:,TEN CONDITIONS FOR CHANGE,TEN CONDITIONS FOR CHANGE SUB-CATEGORY,Edits,Comment for Belen,Belen's comments,,SUBCATEGORY:,GROUPING:,REQUIRES:,SOURCE:,URL:,WE PREDICT EFFECTIVE,GUIDEDTRACK LINK:,RELEVANT TO LTG PROGRAM (per Doug)?,KEYWORDS,Original order (do NOT change these numbers)
PERFORMANCE IMPROVEMENT,RELATABLE MENTOR,"Pair participants of a behavior change program with a mentor (ideally someone similar to the participant in relevant attributes, such as gender or location, or someone who has gone through a similar behavior change challenge and succeeded). The person and their mentor can be encouraged to speak at regular intervals.",10. Maintains,SUPPORT NETWORK,0. No edits needed,I think this is maintains since it can help deal with a wide variety of different changes to the other conditions,,,,,,"Dennehy, T. C., & Dasgupta, N. (2017). Female peer mentors early in college increase women’s positive academic experiences and retention in engineering. Proceedings of the National Academy of Sciences, 114(23), 5964-5969.",https://www.wiseinterventions.org/posters/being-paired-with-female-mentors-sustained-levels-of-belonging-and-self-efficacy-and-increased-rates-of-retention-and-aspirations-in-engineering-majors-among-female-engineering-undergraduates-over-two-years,,,no,"partner, mentor, interval, social, reinforcement, mentor, maintains, support, supports, maintained, believes, considers, maintain, enjoys, knows",54
PERSUASION,"NEGATIVE COMPARISONS
","Explain that failure puts a user in the minority when compared to the majority of successful participants.
",2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,,,,,no,"failure, social, stigma, desires, primal, desire, feelings, impulses, lust, comparisons, emotions, fantasies, influences",55
PERSUASION,APPEAL TO CURIOSITY,"Set up a question that they feel they should know the answer to already (but don't) or that they want to know the answer to, but then rather than answering it, make them realize that the answer will come if they do the thing you want them to do. An example in clickbait headlines would be: ""You won't believe this one weird trick that a teacher discovered to never get the flu again."" Sometimes this is referred to as a ""curiosity gap.""",2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,,,,,no,"curiosity, question, gap, desires, desire, curiosity, primal, lust, passions, passion, instinct, impulses, fantasies",56
PERSUASION,SENSE OF PURPOSE,"Ask the person to reflect on ways they would improve the world, given the chance. Play clips of people explaining how their personal success has improved the world. Then draw the connection between the goal the person is working toward and a positive effect success will have on the world. ",2. Desires,COHERENCE,0. No edits needed,,,,,,,,,,,no,"reflect, altruism, success, good, outcome, media, world, coherence, coherent, sense, clarity, rationality, harmony, relevance, praxis, telos, desires",57
PERSUASION,DOOR IN THE FACE,Present the subject with a large request they are likely to reject to be followed by a smaller request; comparably easier to achieve.,2. Desires,SALIENCE,0. No edits needed,,,,,,,"Cialdini, R.B.; Vincent, J.E.; Lewis, S.K.; Catalan, J.; Wheeler, D.; Darby, B. L. (1975). ""Reciprocal concessions procedure for inducing compliance: the door-in-the-face technique""",,,,no,"request, compare, size, door, in, the, face",58
PERSUASION,FREE,"Make the desired behavior be free of cost, either completely or parts of it. For example, give fruit for free to people you want to start eating healthier.",2. Desires,SALIENCE,0. No edits needed,,,,,,,,,,,no,"free, cost, desires, free, desire, preferences, wanting, wishes, choose, own, freewill, needs",59
PERSUASION,CONTRAST,"Create a contrast effect between the desired behavior or program and something else that you choose such that it makes the desired one seem more valuable or appealing (e.g., comparing a sports program to one with similar characteristics and a higher fee can make the first seem like a better deal).",2. Desires,SALIENCE,0. No edits needed,,,,,,,,,,,no,"contrast, value, utility, appeal, contrast, comparison, unlike, desires, nutshell, whereas, contradiction, dichotomy, compared, comparision",60
PERSUASION,STATUS,Make a connection between the acceptance of the proposition and those with high social or economic status.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,,,,,no,"connect, reputation, assent, belief, status, desires, influence, aspirations, preferences, social, perceptions, relevance, privileges, desire",61
PERSUASION,FOOT IN THE DOOR,"Present a small likely request (e.g., ""Will you sign this petition for the children? It takes only 30 seconds.""), followed by larger request (e.g., ""Will you donate to our cause?"")",2. Desires,COHERENCE,0. No edits needed,,,,,,,"Burger, J. M. (1999). ""The Foot-in-the-Door Compliance Procedure: A Multiple-Process Analysis and Review""",,,,no,"request, size, coherence, coherent, clarity, rationality, praxis, harmony, unity, desires, telos, sense",62
PERSUASION,THOUGHT EXPERIMENT,"Present a thought experiment to illustrate why they should take the action (e.g., ""Imagine that you could finally be stress-free. Wouldn't it be worth investing in that outcome now?"").",2. Desires,INTRINSIC BENEFITS,0. No edits needed,,,,,,,,,,,no,"visualize, illustrate, thought-experiment, intrinsic, experiment, desires, benefits, inherent, intrinsically, essence, concept, perceive, innate",63
PERSUASION,SOCIAL IDENTITY,Appeal to their identity (such as their membership in certain groups or labels that they identify with); make a connection between the desired action and being a member of this group or a good member of this group.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,,,,,no,"appeal, identity, connect, social, social, identity",64
PERSUASION,DECOY PRICING,"Display multiple pricing options side by side, with the middle option being the most appealing. The difference in the prices, relative to the associated features or benefits, should highlight the desired option to make it seem especially valuable, desirable, or like an especially good deal (relative to the others).",6. Chooses,HIGHLIGHTING,0. No edits needed,,,,,,,,,,,no,"options, compare, contrast, value, utility, deal, emphasize, highlighted, highlight, highlights, illustrates, pricing, illustrate, detailing, discusses, illustrated, demonstrates",65
PERSUASION,ACTION CONSISTENCY,Highlight the connection between the desired behavior and actions the person has historically taken.,2. Desires,COHERENCE,0. No edits needed,I could see this also being under Consider and Intend,,,,,,,,,,no,"connect, past, present, future, consistency, coherence, consistency, clarity, coherent, stability, harmony, rationality, competence, relevance, objectivity",66
PERSUASION,BELIEF CONSISTENCY,"Highlight the connection between the desired action and beliefs the person has historically held, and explain that the strength of their beliefs is worth any difficult consequences.",2. Desires,IDENTITY,0. No edits needed,I could see this also being under Consider and Intend,,,,,,,,,,no,"connect, belief, value, outcome, consistency, identity, identities, desires, consistency, desire, belief, aspirations, faith, beliefs, loyalty",67
PERSUASION,AESTHETIC APPEAL,"Present options in a visually appealing way (e.g., to encourage consumption of healthier foods at a school cafeteria, make colorful fruit skewers).",2. Desires,SALIENCE,0. No edits needed,,,,,,,,,,,no,"aesthetics, presentation, appeal, aesthetic, aesthetics, desires, appeal, tastes, appeals, desire, appealing, palette, beauty",68
PERSUASION,SOCIAL PROOF,"Show that lots of people in their social world or people they know are doing the action. The more similar these other people are to them, the more persuasive it is.",2. Desires,SOCIAL INFLUENCE,0. No edits needed,I could see this also being under Consider and Intend,,,,,,,,,,no,"compare, social, peer-pressure, social, desires, societal, influence, socially, society, influences, aspirations, motivations, cultural",69
PERSUASION,RECIPROCITY,Present the action as a way to return a favor that was done for them (people want to help those who have helped them).,2. Desires,SOCIAL INFLUENCE,0. No edits needed,I could also see this being Desires,,,,,,,,,,no,"reciprocity, mutual, cooperation, equality, concord, principle, dialogue, compassion, rationality, desires, interaction",70
PERSUASION,AUTHORITY,Present the action as being promoted by those they view as authorities.,2. Desires,SOCIAL INFLUENCE,0. No edits needed,,,,,,,,,,,no,"authority, authority, influence, desires, powers, dominion, jurisdiction, mandate, responsibilities, desire, responsibility",71
PERSUASION,SCARCITY,Present the action or item as a limited time offer or as something that is rare or hard to attain.,2. Desires,PRIMAL DESIRE,0. No edits needed,,,,,,,,,,,no,"scarcity, rarity, difficulty, desires, primal, desire, lust, impulses, passions, fantasies, instinct, innate, feelings",72
PERSUASION,CHARM,"Use charm to appeal to them (e.g., be likable).",2. Desires,CHARISMA,0. No edits needed,,,,,,,,,,,no,"charm, charm, personality, humor, qualities, charismatic, intellect, wit, aura, humility, character",73
PERSUASION,DROP IN THE BUCKET,"When presenting a behavior towards a greater goal, make sure to stress the importance of each individual contribution to avoid the effect ""drop in the bucket"" (which causes  thinking like ""if my efforts are just a small amount for a huge problem, why bother?""). As an example, it may be worth taking into account this effect is when requesting to reduce one's carbon footprint—where the greater goal is to have cleaner air in the country—or when requesting donations for a cause.",2. Desires,RELEVANCE,0. No edits needed,,,,,,,,http://aarongertler.net/thesis/,,,no,"efficacy, individual, contribution, size, relevance, significance, desires, importance, context, desire, preferences, relevant, aspirations, legitimacy",74
PERSUASION,SPECIFICITY,"When requesting an altruistic behavior, make it seem like the action would help a very specific person or cause rather than a broad, ambiguous group (e.g., show the face of one child rather than a picture of hundreds of children).",2. Desires,SALIENCE,0. No edits needed,,,,,,,,,,,no,"individual, altruism, specific, ambiguous, sensitivity, concordance, specific, coherence, purity, clarity, accuracy, complexity, relevance, precisely",75
PERSUASION,GUILT,Make them feel guilty for not taking the action. (Note that this can backfire because they might be annoyed at you for making them feel guilty).,2. Desires,NEGATIVE EMOTIONS,0. No edits needed,,,,,,,,,,,no,"guilt, morality, value, guilt, feelings, emotions, emotion, anxiety, grief, desires, conscience, prejudice, anger",76
PERSUASION,REWARD,Offer an incentive for taking the action.,,,5. To be deleted,,"Very generic, there are other rewards strategies that are more specific",,,,,,,,,no,,77
